Ticker symbol,Security,GICS Sector,Address of Headquarters,Date first added,CIK
ALXN,Alexion Pharmaceuticals,Health Care,"Cheshire, Connecticut",2012-05-25,899866
FE,FirstEnergy Corp,Utilities,"Akron, Ohio",,1031296
PX,Praxair Inc.,Materials,"Danbury, Connecticut",1992-07-01,884905
VRTX,Vertex Pharmaceuticals Inc,Health Care,"Cambridge, Massachusetts",2013-09-23,875320
CAT,Caterpillar Inc.,Industrials,"Peoria, Illinois",,18230
BXP,Boston Properties,Real Estate,"Boston, Massachusetts",,1037540
LMT,Lockheed Martin Corp.,Industrials,"Bethesda, Maryland",1984-07-31,936468
AON,Aon plc,Financials,"London, United Kingdom",,315293
XRX,Xerox Corp.,Information Technology,"Norwalk, Connecticut",,108772
AMT,American Tower Corp A,Real Estate,"Boston, Massachusetts",2007-11-19,1053507
